role,resume_text
Data Scientist,"Built machine learning models in Python using scikit-learn and pandas, performed feature engineering, and deployed predictive analytics dashboards with SQL."
Data Scientist,"Worked on NLP pipelines, topic modeling, and model evaluation. Used Python, NumPy, pandas, and ML experiments for business forecasting."
Data Scientist,"Created classification models, cleaned large datasets, and improved model accuracy by 18 percent. Built visualizations with matplotlib and seaborn."
Data Analyst,"Analyzed sales and finance data with SQL and Excel, created KPI dashboards in Power BI, and delivered weekly reporting automation."
Data Analyst,"Used Tableau and SQL to track churn, customer retention, and marketing performance metrics. Performed ad hoc analysis for leadership."
Data Analyst,"Built ETL reports, wrote complex SQL joins, and automated data validation checks in Python for operational dashboards."
Frontend Developer,"Developed responsive interfaces in React, TypeScript, HTML, and CSS. Implemented reusable components and improved Lighthouse performance."
Frontend Developer,"Built modern UI with Next.js and Tailwind CSS, integrated REST APIs, and optimized web accessibility and SEO."
Frontend Developer,"Implemented state management with Redux, created interactive dashboards, and improved page speed using code splitting."
Backend Developer,"Designed REST APIs with Node.js and Express, implemented authentication, and optimized PostgreSQL queries for high throughput."
Backend Developer,"Built microservices in Python Flask, integrated Redis caching, and wrote unit tests for API reliability."
Backend Developer,"Created scalable backend modules, message queues, and database migration scripts. Worked with Docker and CI pipelines."
DevOps Engineer,"Managed AWS infrastructure, configured CI/CD pipelines, and automated deployments with Docker and Kubernetes."
DevOps Engineer,"Set up monitoring with Prometheus and Grafana, handled Linux administration, and improved release reliability with Terraform."
DevOps Engineer,"Built GitHub Actions workflows, configured cloud networking, and automated rollback strategies for production incidents."
Machine Learning Engineer,"Built end-to-end ML pipelines, trained and served models, and implemented feature stores for recommendation systems."
Machine Learning Engineer,"Deployed ML services using FastAPI, Docker, and cloud infrastructure. Optimized inference latency for production usage."
Machine Learning Engineer,"Implemented model retraining jobs, data drift monitoring, and experiment tracking for scalable ML systems."
Java Developer,"Developed enterprise applications in Java and Spring Boot, built REST APIs, and used Hibernate with MySQL."
Java Developer,"Created microservices with Spring Cloud, wrote JUnit tests, and integrated Kafka-based event-driven workflows."
Java Developer,"Optimized Java backend performance, handled multithreading tasks, and maintained CI/CD pipelines for release cycles."
Python Developer,"Built backend services in Python Django, designed APIs, and integrated PostgreSQL and Celery task queues."
Python Developer,"Automated scripts with Python, developed Flask endpoints, and managed data pipelines with pandas and SQLAlchemy."
Python Developer,"Implemented unit tests with pytest, handled API integrations, and containerized services using Docker."
UI UX Designer,"Designed wireframes and prototypes in Figma, conducted usability testing, and improved user journey for web products."
UI UX Designer,"Created design systems, interactive prototypes, and visual assets in Adobe XD and Illustrator."
UI UX Designer,"Worked on user research, persona creation, and accessibility-first interface improvements for mobile and web apps."
QA Engineer,"Wrote test cases for API and UI, performed regression and smoke testing, and tracked defects in Jira."
QA Engineer,"Automated browser tests using Selenium and Cypress, improved test coverage, and supported release quality gates."
QA Engineer,"Designed integration test plans, executed performance test scenarios, and collaborated with developers on bug fixes."